Day,Meal,Dish 1,Dish 2,Dish 3,Dish 4
1,Lunch,Kung Pao Chicken,Ham and Egg Sandwhich,Asparagus stir-fry,Cauliflower Stir-fry
1,Dinner,Spicy Shrimp,Tomato Scrambled Eggs,Tofu Skin Salad,Fried Chicken Wings
2,Lunch,Lamb Chops,Omelette,Boiled Broccoli,Tofu Skin Salad
2,Dinner,Meatballs,Egg Drop Soup,Mushrooms with Bok Choy,Spinach with Garlic
3,Lunch,Drunken Chicken,Poached Egg,Eggplant Casserole,Boiled Broccoli
3,Dinner,Fried Chicken Wings,Fried Rice with Egg,Tofu Skin Salad,Meatballs
4,Lunch,Beef Stir-fry,Soy Sauce Egg,Asparagus stir-fry,Boiled Broccoli
4,Dinner,Spicy Shrimp,Corn Soup with Egg,Cauliflower Stir-fry,Lamb Chops
5,Lunch,Kung Pao Chicken,Soy Sauce Egg,Stir-fried Cabbage,Lamb Chops
5,Dinner,Meatballs,Steamed Egg,Asparagus stir-fry,Beef Stir-fry
6,Lunch,Fried Chicken Wings,Corn Soup with Egg,Tofu Skin Salad,Soy Sauce Egg
6,Dinner,Sweet and Sour Pork,Egg Salad,Green Beans with Pork,Mapo Tofu
7,Lunch,Meatballs,Steamed Egg,Tofu Skin Salad,Stir-fried Cabbage
7,Dinner,Spicy Shrimp,Scotch Egg,Mushrooms with Bok Choy,Tea Egg
